action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,104676,[],CHEMBL649398,Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)c1ccc(-c2nc3ccccn3c2I)cc1,,,CHEMBL1145100,J Med Chem,2003,,CHEMBL311035,,CHEMBL311035,,0,http://www.openphacts.org/units/Nanomolar,144086,>,1,1,>,,Ki,nM,,2000.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,2000.0
,,905119,[],CHEMBL649530,Inhibitory activity against binding of [125I]IMSB to amyloid beta in brain,B,,,BAO_0000192,BAO_0000221,tissue-based format,O=C(O)c1cc(/C=C\c2ccc(/C=C\c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,,,CHEMBL1134523,J Med Chem,2001,"{'bei': '20.54', 'le': '0.44', 'lle': '4.29', 'sei': '8.59'}",CHEMBL76112,,CHEMBL76112,9.89,0,http://www.openphacts.org/units/Nanomolar,130640,=,1,1,=,,Ki,nM,,0.13,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,0.13
,,908974,[],CHEMBL649530,Inhibitory activity against binding of [125I]IMSB to amyloid beta in brain,B,,,BAO_0000192,BAO_0000221,tissue-based format,O=C(O)c1cc(/C=C\c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,,,CHEMBL1134523,J Med Chem,2001,"{'bei': '19.88', 'le': '0.42', 'lle': '3.97', 'sei': '8.32'}",CHEMBL74348,,CHEMBL74348,9.57,0,http://www.openphacts.org/units/Nanomolar,130642,=,1,1,=,,Ki,nM,,0.27,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,0.27
,,916894,[],CHEMBL649530,Inhibitory activity against binding of [125I]IMSB to amyloid beta in brain,B,,,BAO_0000192,BAO_0000221,tissue-based format,O=C(O)c1cc(/C=C\c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)cc2Br)ccc1O,,,CHEMBL1134523,J Med Chem,2001,"{'bei': '20.20', 'le': '0.43', 'lle': '4.12', 'sei': '8.45'}",CHEMBL305634,,CHEMBL305634,9.72,0,http://www.openphacts.org/units/Nanomolar,130639,=,1,1,=,,Ki,nM,,0.19,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,0.19
,,920486,[],CHEMBL649530,Inhibitory activity against binding of [125I]IMSB to amyloid beta in brain,B,,,BAO_0000192,BAO_0000221,tissue-based format,O=C(O)c1cc(/N=N/c2ccc(-c3ccc(/N=N/c4ccc(O)c(C(=O)O)c4)cc3)cc2)ccc1O,,,CHEMBL1134523,J Med Chem,2001,"{'bei': '20.42', 'le': '0.37', 'lle': '2.86', 'sei': '5.99'}",CHEMBL300172,CHRYSAMINE G,CHEMBL300172,9.85,0,http://www.openphacts.org/units/Nanomolar,130637,=,1,1,=,,Ki,nM,,0.14,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,0.14
,,920592,[],CHEMBL649530,Inhibitory activity against binding of [125I]IMSB to amyloid beta in brain,B,,,BAO_0000192,BAO_0000221,tissue-based format,O=C(O)c1ccccc1O,,,CHEMBL1134523,J Med Chem,2001,,CHEMBL424,SALICYLIC ACID,CHEMBL424,,0,http://www.openphacts.org/units/Nanomolar,130641,>,1,1,>,,Ki,nM,,1800.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,1800.0
,,935444,[],CHEMBL649530,Inhibitory activity against binding of [125I]IMSB to amyloid beta in brain,B,,,BAO_0000192,BAO_0000221,tissue-based format,O=C(O)c1cc(/C=C/c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,,,CHEMBL1134523,J Med Chem,2001,"{'bei': '20.69', 'le': '0.44', 'lle': '4.36', 'sei': '8.66'}",CHEMBL74704,,CHEMBL74704,9.96,0,http://www.openphacts.org/units/Nanomolar,130638,=,1,1,=,,Ki,nM,,0.11,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,0.11
,,1041169,[],CHEMBL649529,Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,B,,,BAO_0000192,BAO_0000357,single protein format,CN1CCN(c2ccc(-c3nc4ccc(I)cc4s3)cc2)CC1,,,CHEMBL1134439,J Med Chem,2001,,CHEMBL58092,,CHEMBL58092,,0,http://www.openphacts.org/units/Nanomolar,97207,>,1,1,>,,Ki,nM,,2000.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,2000.0
,,1049804,[],CHEMBL649529,Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,B,,,BAO_0000192,BAO_0000357,single protein format,COc1ccc(/C=C/c2ccc(/C=C/c3ccc(OC)c(C(=O)O)c3)c(I)c2)cc1C(=O)O,,,CHEMBL1134439,J Med Chem,2001,"{'bei': '17.56', 'le': '0.40', 'lle': '3.72', 'sei': '10.50'}",CHEMBL292910,,CHEMBL292910,9.77,0,http://www.openphacts.org/units/Nanomolar,97203,=,1,1,=,,Ki,nM,,0.17,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,0.17
,,1055975,[],CHEMBL649529,Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)c1ccc(-c2nc3ccc(Br)cc3s2)cc1,,,CHEMBL1134439,J Med Chem,2001,,CHEMBL55401,,CHEMBL55401,,0,http://www.openphacts.org/units/Nanomolar,97206,>,1,1,>,,Ki,nM,,2000.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,2000.0
,,1057265,[],CHEMBL649529,Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,B,,,BAO_0000192,BAO_0000357,single protein format,Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C,,,CHEMBL1134439,J Med Chem,2001,,CHEMBL57267,,CHEMBL57267,,0,http://www.openphacts.org/units/Nanomolar,97210,>,1,1,>,,Ki,nM,,9000.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,9000.0
,,1066025,[],CHEMBL649529,Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,B,,,BAO_0000192,BAO_0000357,single protein format,CN1CCN(c2ccc(-c3nc4ccc(Br)cc4s3)cc2)CC1,,,CHEMBL1134439,J Med Chem,2001,,CHEMBL55536,,CHEMBL55536,,0,http://www.openphacts.org/units/Nanomolar,97204,>,1,1,>,,Ki,nM,,2000.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,2000.0
,,1142680,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,COc1ccc2nc(-c3ccc(N(C)C)cc3)sc2c1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '30.67', 'le': '0.60', 'lle': '4.68', 'sei': '34.39'}",CHEMBL328430,,CHEMBL328430,8.72,0,http://www.openphacts.org/units/Nanomolar,170700,=,1,1,=,,Ki,nM,,1.9,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,1.9
,,1143968,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,CNc1ccc(-c2nc3ccccc3s2)cc1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '33.12', 'le': '0.64', 'lle': '3.95', 'sei': '31.94'}",CHEMBL93334,,CHEMBL93334,7.96,0,http://www.openphacts.org/units/Nanomolar,170685,=,1,1,=,,Ki,nM,,11.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,11.0
,,1143973,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '32.64', 'le': '0.63', 'lle': '4.66', 'sei': '18.53'}",CHEMBL93124,PITTSBURGH COMPOUND B,CHEMBL93124,8.37,1,http://www.openphacts.org/units/Nanomolar,170698,=,1,1,=,,Ki,nM,,4.3,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,4.3
,,1143978,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,CNc1ccc(-c2nc3ccc(C#N)cc3s2)cc1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '30.40', 'le': '0.58', 'lle': '4.19', 'sei': '16.56'}",CHEMBL92802,,CHEMBL92802,8.07,0,http://www.openphacts.org/units/Nanomolar,170695,=,1,1,=,,Ki,nM,,8.6,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,8.6
,,1146597,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,COc1ccc2nc(-c3ccc(N)cc3)sc2c1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '31.81', 'le': '0.62', 'lle': '4.60', 'sei': '16.94'}",CHEMBL92390,,CHEMBL92390,8.15,0,http://www.openphacts.org/units/Nanomolar,170687,=,1,1,=,,Ki,nM,,7.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,7.0
,,1147992,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,Nc1ccc(-c2nc3ccccc3s2)cc1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '32.84', 'le': '0.63', 'lle': '3.88', 'sei': '19.10'}",CHEMBL93118,,CHEMBL93118,7.43,0,http://www.openphacts.org/units/Nanomolar,170684,=,1,1,=,,Ki,nM,,37.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,37.0
,,1152794,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,CNc1ccc(-c2nc3ccc(Br)cc3s2)cc1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '27.47', 'le': '0.67', 'lle': '4.00', 'sei': '35.19'}",CHEMBL328660,,CHEMBL328660,8.77,0,http://www.openphacts.org/units/Nanomolar,170692,=,1,1,=,,Ki,nM,,1.7,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,1.7
,,1154040,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '30.28', 'le': '0.59', 'lle': '4.09', 'sei': '12.41'}",CHEMBL93884,,CHEMBL93884,7.34,0,http://www.openphacts.org/units/Nanomolar,170699,=,1,1,=,,Ki,nM,,46.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,46.0
,,1157967,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)c1ccc(-c2nc3ccccc3s2)cc1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '33.02', 'le': '0.64', 'lle': '4.37', 'sei': '52.06'}",CHEMBL92816,,CHEMBL92816,8.40,0,http://www.openphacts.org/units/Nanomolar,170690,=,1,1,=,,Ki,nM,,4.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,4.0
,,1163541,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,N#Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '28.63', 'le': '0.55', 'lle': '3.77', 'sei': '11.47'}",CHEMBL93270,,CHEMBL93270,7.19,0,http://www.openphacts.org/units/Nanomolar,170696,=,1,1,=,,Ki,nM,,64.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,64.0
,,1168896,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)c1ccc(-c2nc3ccc(C#N)cc3s2)cc1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '28.49', 'le': '0.54', 'lle': '4.06', 'sei': '19.94'}",CHEMBL92801,,CHEMBL92801,7.96,0,http://www.openphacts.org/units/Nanomolar,170694,=,1,1,=,,Ki,nM,,11.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,11.0
,,1170165,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,CNc1ccc(-c2nc3ccc(C)cc3s2)cc1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '31.45', 'le': '0.61', 'lle': '3.69', 'sei': '32.10'}",CHEMBL330529,,CHEMBL330529,8.00,0,http://www.openphacts.org/units/Nanomolar,170689,=,1,1,=,,Ki,nM,,10.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,10.0
,,1170170,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,Cc1ccc2nc(-c3ccc(N(C)C)cc3)sc2c1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '26.80', 'le': '0.52', 'lle': '2.85', 'sei': '44.60'}",CHEMBL329640,,CHEMBL329640,7.19,0,http://www.openphacts.org/units/Nanomolar,170688,=,1,1,=,,Ki,nM,,64.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,64.0
,,1170175,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)c1ccc(-c2nc3ccc(O)cc3s2)cc1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '30.91', 'le': '0.60', 'lle': '4.63', 'sei': '22.98'}",CHEMBL91449,,CHEMBL91449,8.36,0,http://www.openphacts.org/units/Nanomolar,170697,=,1,1,=,,Ki,nM,,4.4,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,4.4
,,1172682,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,Nc1ccc(-c2nc3ccc(Br)cc3s2)cc1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '26.68', 'le': '0.65', 'lle': '3.83', 'sei': '20.93'}",CHEMBL92852,,CHEMBL92852,8.14,0,http://www.openphacts.org/units/Nanomolar,170693,=,1,1,=,,Ki,nM,,7.2,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,7.2
,,1176569,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,CNc1ccc(-c2nc3ccc(OC)cc3s2)cc1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '30.74', 'le': '0.60', 'lle': '4.30', 'sei': '24.33'}",CHEMBL94230,,CHEMBL94230,8.31,0,http://www.openphacts.org/units/Nanomolar,170691,=,1,1,=,,Ki,nM,,4.9,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,4.9
,,1179092,[],CHEMBL649400,Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,B,,,BAO_0000192,BAO_0000357,single protein format,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,,,CHEMBL1145813,J Med Chem,2003,"{'bei': '33.38', 'le': '0.64', 'lle': '4.17', 'sei': '20.62'}",CHEMBL93109,,CHEMBL93109,8.02,0,http://www.openphacts.org/units/Nanomolar,170686,=,1,1,=,,Ki,nM,,9.5,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,9.5
,,1608494,[],CHEMBL872393,Inhibition constant for I-125-IMPY binding to amyloid plaques in Alzheimers disease brain homogenates,B,,,BAO_0000192,BAO_0000221,tissue-based format,Nc1ccc(/C=C/c2ccc(O)cc2)cc1,,,CHEMBL1140412,J Med Chem,2005,"{'bei': '33.24', 'le': '0.60', 'lle': '3.88', 'sei': '15.18'}",CHEMBL194754,,CHEMBL194754,7.02,0,http://www.openphacts.org/units/Nanomolar,402596,=,1,1,=,,Ki,nM,,95.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,95.0
,,1608495,[],CHEMBL872393,Inhibition constant for I-125-IMPY binding to amyloid plaques in Alzheimers disease brain homogenates,B,,,BAO_0000192,BAO_0000221,tissue-based format,Nc1ccc(/C=C/c2ccc(OCC(CO)CF)cc2)cc1,,,CHEMBL1140412,J Med Chem,2005,"{'bei': '25.96', 'le': '0.49', 'lle': '4.42', 'sei': '14.10'}",CHEMBL198597,,CHEMBL198597,7.82,0,http://www.openphacts.org/units/Nanomolar,402597,=,1,1,=,,Ki,nM,,15.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,15.0
,,1608496,[],CHEMBL872393,Inhibition constant for I-125-IMPY binding to amyloid plaques in Alzheimers disease brain homogenates,B,,,BAO_0000192,BAO_0000221,tissue-based format,CN(C)c1ccc(/C=C/c2ccc(O)cc2)cc1,,,CHEMBL1140412,J Med Chem,2005,"{'bei': '37.43', 'le': '0.68', 'lle': '5.33', 'sei': '38.17'}",CHEMBL198598,,CHEMBL198598,8.96,0,http://www.openphacts.org/units/Nanomolar,402598,=,1,1,=,,Ki,nM,,1.1,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,1.1
,,1608497,[],CHEMBL872393,Inhibition constant for I-125-IMPY binding to amyloid plaques in Alzheimers disease brain homogenates,B,,,BAO_0000192,BAO_0000221,tissue-based format,CN(C)c1ccc(/C=C/c2ccc(OCC3COC(C)(C)OC3)cc2)cc1,,,CHEMBL1140412,J Med Chem,2005,"{'bei': '19.67', 'le': '0.37', 'lle': '2.53', 'sei': '23.37'}",CHEMBL371066,,CHEMBL371066,7.23,0,http://www.openphacts.org/units/Nanomolar,402599,=,1,1,=,,Ki,nM,,59.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,59.0
,,1608498,[],CHEMBL872393,Inhibition constant for I-125-IMPY binding to amyloid plaques in Alzheimers disease brain homogenates,B,,,BAO_0000192,BAO_0000221,tissue-based format,CN(C)c1ccc(/C=C/c2ccc(OCC(CO)CO)cc2)cc1,,,CHEMBL1140412,J Med Chem,2005,"{'bei': '22.66', 'le': '0.42', 'lle': '4.52', 'sei': '14.02'}",CHEMBL196407,,CHEMBL196407,7.42,0,http://www.openphacts.org/units/Nanomolar,402600,=,1,1,=,,Ki,nM,,38.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,38.0
,,1608499,[],CHEMBL872393,Inhibition constant for I-125-IMPY binding to amyloid plaques in Alzheimers disease brain homogenates,B,,,BAO_0000192,BAO_0000221,tissue-based format,COc1ccc(S(=O)(=O)OCC(CO)COc2ccc(/C=C/c3ccc(N(C)C)cc3)cc2)cc1,,,CHEMBL1140412,J Med Chem,2005,"{'bei': '13.71', 'le': '0.27', 'lle': '2.50', 'sei': '8.00'}",CHEMBL196213,,CHEMBL196213,6.82,0,http://www.openphacts.org/units/Nanomolar,402601,=,1,1,=,,Ki,nM,,150.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,150.0
